timestamp,open,high,low,close,volume
2025-05-16 07:00:00,104019.69,104211.65,103718.62,103737.28,546.50660506
2025-05-16 08:00:00,103737.28,103813.1,103125.51,103427.69,196.4755155
2025-05-16 09:00:00,103427.69,103859.23,103427.41,103831.44,232.28021608
2025-05-16 10:00:00,103838.24,103932.81,103666.58,103842.81,189.88631754
2025-05-16 11:00:00,103848.42,103943.47,103587.17,103706.52,102.32415424
2025-05-16 12:00:00,103706.52,103824.39,103528.54,103542.51,97.31526667
2025-05-16 13:00:00,103546.52,104158.01,103481.79,104048.99,364.78245721
2025-05-16 14:00:00,104053.02,104053.02,103367.11,103619.05,450.13206716
2025-05-16 15:00:00,103619.05,104335.46,103619.05,104229.4,481.22071729
2025-05-16 16:00:00,104229.4,104616.71,103876.78,104197.69,693.75670652
2025-05-16 17:00:00,104197.69,104446.91,103800.0,103901.06,264.54057452
2025-05-16 18:00:00,103901.06,104136.0,103720.0,103721.93,157.2812448
2025-05-16 19:00:00,103724.9,104104.0,103619.99,104069.32,463.33321437
2025-05-16 20:00:00,104073.36,104078.76,103551.24,103718.91,211.70082161
2025-05-16 21:00:00,103715.3,103823.51,103523.99,103638.32,155.7441666
2025-05-16 22:00:00,103638.32,103656.63,103440.58,103554.69,862.85210024
2025-05-16 23:00:00,103554.69,103729.01,103451.08,103500.03,170.3852425
2025-05-17 00:00:00,103500.03,103577.19,103123.97,103382.12,206.90166706
2025-05-17 01:00:00,103382.08,103382.08,102612.0,102861.15,196.32591774
2025-05-17 02:00:00,102867.36,103386.11,102759.03,103301.41,87.03169785
2025-05-17 03:00:00,103303.49,103617.16,103180.19,103529.59,82.30086453
2025-05-17 04:00:00,103529.58,103689.73,103479.99,103677.05,48.22086688
2025-05-17 05:00:00,103678.21,103741.98,103351.65,103377.28,37.20424135
2025-05-17 06:00:00,103376.4,103532.91,103308.58,103510.79,42.43114754
2025-05-17 07:00:00,103510.8,103658.62,103440.5,103476.63,45.22483396
2025-05-17 08:00:00,103481.5,103595.92,103151.22,103449.83,72.62309903
2025-05-17 09:00:00,103449.83,103581.54,102842.15,102928.33,89.72985583
2025-05-17 10:00:00,102928.33,103086.35,102848.24,102909.29,42.10901729
2025-05-17 11:00:00,102909.29,103136.27,102778.19,103021.2,56.26568761
2025-05-17 12:00:00,103021.2,103100.84,102910.17,102963.68,50.17498188
2025-05-17 13:00:00,102963.68,103144.35,102672.81,102742.58,83.14077973
2025-05-17 14:00:00,102746.65,103213.91,102729.85,103162.31,93.2650347
2025-05-17 15:00:00,103162.31,103213.33,102969.89,102976.24,59.73750671
